Crash_ID,Unit_Nbr,Unit_Desc_ID,Veh_Parked_Fl,Veh_HNR_Fl,Veh_Lic_State_ID,VIN,Veh_Mod_Year,Veh_Color_ID,Veh_Make_ID,Veh_Mod_ID,Veh_Body_Styl_ID,Emer_Respndr_Fl,Ownr_Zip,Fin_Resp_Proof_ID,Fin_Resp_Type_ID,Veh_Dmag_Area_1_ID,Veh_Dmag_Scl_1_ID,Force_Dir_1_ID,Veh_Dmag_Area_2_ID,Veh_Dmag_Scl_2_ID,Force_Dir_2_ID,Veh_Inventoried_Fl,Veh_Transp_Name,Veh_Transp_Dest,Veh_Cmv_Fl,Cmv_Fiveton_Fl,Cmv_Hazmat_Fl,Cmv_Nine_Plus_Pass_Fl,Cmv_Veh_Oper_ID,Cmv_Carrier_ID_Type_ID,Cmv_Carrier_Zip,Cmv_Veh_Type_ID,Cmv_GVWR,Cmv_RGVW,Cmv_Hazmat_Rel_Fl,Hazmat_Cls_1_ID,Hazmat_IDNbr_1_ID,Hazmat_Cls_2_ID,Hazmat_IDNbr_2_ID,Cmv_Cargo_Body_ID,Cmv_Evnt1_ID,Cmv_Evnt2_ID,Cmv_Evnt3_ID,Cmv_Evnt4_ID,Cmv_Tot_Axle,Cmv_Tot_Tire,Contrib_Factr_1_ID,Contrib_Factr_2_ID,Contrib_Factr_3_ID,Contrib_Factr_P1_ID,Contrib_Factr_P2_ID,Veh_Dfct_1_ID,Veh_Dfct_2_ID,Veh_Dfct_3_ID,Veh_Dfct_P1_ID,Veh_Dfct_P2_ID,Veh_Trvl_Dir_ID,First_Harm_Evt_Inv_ID,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt,Cmv_Disabling_Damage_Fl,Cmv_Bus_Type_ID,Trlr_GVWR,Trlr_RGVW,Trlr_Type_ID,Trlr_Disabling_Dmag_ID,Cmv_Intermodal_Container_Permit_Fl,CMV_Actual_Gross_Weight
17059211,1,1,N,N,43,5TFAZ5CN4HX037974,2017,9,91,629,30,N,78758,1,2,16,3,3,,,,N,NOT TOWED,,N,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,1,1,0,0,1,1,0,1,0,,,,,,,,
17059211,2,1,N,N,43,SALCT2FX6KH801999,2019,21,57,613,69,N,78751,1,2,4,3,12,,,,N,ROCHAS TOWING SERVICE,ROCHAS TOWING SERVICE,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5,1,0,0,0,1,0,0,0,,,,,,,,
17059213,1,1,N,N,43,JN8AS5MT4DW541009,2013,17,71,1310,104,N,78728,1,2,4,6,1,,,,Y,EZ AUTO AND TOWING SERVICE,EZ AUTO AND TOWING SERVICE,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,8,1,0,0,1,0,0,1,0,,,,,,,,
17059214,1,1,N,N,43,JM1BK343061408705,2006,16,63,1210,104,N,78613,1,1,2,3,12,,,,Y,,,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,8,1,0,0,0,1,0,0,0,,,,,,,,
17059214,2,1,N,N,43,JF2GTAMC1J8305401,2018,2,85,2555,104,N,78757,1,1,6,2,6,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,8,1,0,0,0,1,0,0,0,,,,,,,,
17059215,1,1,N,Y,,,,17,,,104,N,,2,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,67,19,,,,,,4,1,0,0,0,0,1,0,0,,,,,,,,
17059215,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,9,1,0,0,1,0,0,1,0,,,,,,,,
17059216,1,1,N,N,43,JHMCM56363C068174,2003,9,44,236,104,N,78741,1,1,4,5,1,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,1,1,0,0,0,1,0,0,0,,,,,,,,
17059216,2,1,N,N,43,ZFBCFXCB8HP529266,2017,21,35,2956,69,N,78703,1,1,7,4,7,,,,N,EZ AUTO AND TOWING SERVICE,1830 OAK HILL DR,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,1,0,0,0,1,0,0,0,,,,,,,,
17059248,1,1,N,N,43,2GCEC19Z5S1304484,1995,21,107,2202,30,N,79104,1,2,5,2,6,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,3,1,0,0,0,1,0,0,0,,,,,,,,
17059248,2,1,N,N,43,2T1BR32E05C323678,2005,10,91,173,104,N,78749,1,1,2,5,12,,,,N,HARPERS TOWING SERVICE INC,HARPERS TOWING SERVICE INC,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,3,1,0,0,0,1,0,0,0,,,,,,,,
